iter	Passed	Remaining
380	1620	2633
381	1624	2627
382	1627	2621
383	1631	2617
384	1635	2612
385	1639	2607
386	1642	2601
387	1646	2597
388	1650	2591
389	1653	2586
390	1656	2580
391	1660	2575
392	1664	2570
393	1668	2566
394	1672	2561
395	1675	2556
396	1679	2551
397	1682	2545
398	1686	2539
399	1689	2534
400	1693	2530
401	1696	2524
402	1700	2518
403	1703	2513
404	1707	2509
405	1711	2503
406	1714	2498
407	1717	2492
408	1721	2487
409	1725	2482
410	1728	2477
411	1731	2471
412	1734	2465
413	1738	2461
414	1742	2456
415	1746	2451
416	1749	2445
417	1753	2441
418	1756	2436
419	1760	2430
420	1763	2425
421	1766	2419
422	1770	2415
423	1774	2410
424	1777	2404
425	1780	2399
