iter	RMSE
301	139564.5667
302	139425.8349
303	139298.9172
304	139002.2152
305	138823.7088
306	138700.6559
307	138536.9456
308	138374.2293
309	138210.9075
310	138088.4733
311	137995.6197
312	137774.869
313	137698.7329
314	137607.2467
315	137424.5482
316	137283.8556
317	137044.5984
318	136868.4935
319	136759.9356
320	136622.1378
321	136452.8241
322	136345.4183
323	136206.1314
324	136144.1939
325	136021.3906
326	135911.1522
327	135633.3906
328	135441.1066
329	135232.1499
330	134901.3635
331	134765.1807
332	134624.2645
333	134492.9942
334	134252.5041
335	134118.9361
336	133969.9852
337	133853.7141
338	133722.7597
339	133560.587
340	133351.083
341	133075.3001
342	132949.2104
343	132857.148
344	132648.6627
345	132565.1513
346	132376.5527
347	132236.6292
348	132075.681
349	131915.7291
350	131749.778
351	131551.6866
352	131358.2696
353	131225.7293
354	131097.9603
355	130972.0773
356	130734.1306
357	130654.0827
358	130568.4308
359	130448.9632
360	130222.3352
361	130117.1219
362	130023.6843
363	129844.0541
364	129628.2994
365	129483.3802
366	129357.7825
367	129186.8779
368	129067.7697
369	128954.5267
370	128868.9124
371	128778.345
372	128697.0031
373	128630.4862
374	128485.8904
375	128416.3714
376	128204.0109
377	128076.6723
378	127904.7471
379	127749.1036
380	127583.0251
381	127489.279
382	127358.0567
383	127200.4667
384	127062.823
385	126941.4014
386	126831.3525
387	126696.2582
388	126537.946
389	126364.4176
390	126225.8629
391	126068.6988
392	125950.9361
393	125833.87
394	125688.0672
395	125571.891
396	125429.2782
397	125325.7839
398	125207.8376
399	125086.5132
400	124961.4276
401	124892.5193
402	124773.8576
403	124586.7098
404	124483.8546
405	124363.9732
406	124252.5681
407	124138.8279
408	123943.0113
409	123790.2367
410	123735.3072
411	123611.9932
412	123496.5277
413	123332.517
414	123188.1702
415	123048.6302
416	122972.6299
417	122911.6139
418	122868.4453
419	122771.7845
420	122642.043
421	122477.2845
422	122311.8186
423	122258.0938
424	122175.8076
425	122036.0013
426	121972.6581
427	121870.0984
428	121744.9172
429	121650.0836
430	121514.0772
431	121350.4687
432	121251.7904
433	121109.0974
434	120979.8931
435	120900.0717
436	120828.7275
437	120715.9327
438	120600.9386
439	120496.1702
440	120388.0134
441	120351.1268
442	120258.7478
443	120131.0708
444	120046.8178
445	119917.218
446	119807.1822
447	119749.5816
448	119659.2875
449	119496.9367
450	119423.2941
451	119319.7886
452	119174.5995
453	119058.6692
454	118916.1626
455	118823.0615
456	118736.9396
457	118634.6805
458	118533.508
459	118429.3505
460	118312.9975
461	118151.7971
462	118033.7794
463	117916.7931
464	117828.6814
465	117763.7582
466	117691.4496
467	117596.0052
468	117486.119
469	117413.3755
470	117330.1853
471	117228.9675
472	117151.9049
473	116990.8713
474	116904.8356
475	116799.5801
476	116726.2072
477	116648.8968
478	116562.8515
479	116482.483
480	116381.6531
481	116282.6009
482	116207.6678
483	116136.123
484	116060.0299
485	115958.568
486	115891.6721
487	115822.5308
488	115786.1912
489	115736.4789
490	115634.4692
491	115543.31
492	115412.6648
493	115360.4808
494	115293.8046
495	115205.0197
496	115143.4811
497	115071.9749
498	115011.0019
499	114848.1723
500	114722.756
501	114656.3446
502	114565.5112
503	114503.1153
504	114436.6558
505	114383.3852
506	114324.5431
507	114240.6157
508	114190.9758
509	114075.2982
510	114018.9465
511	113859.384
512	113790.6893
513	113737.583
514	113662.107
515	113568.2929
516	113491.8616
517	113453.823
518	113405.6912
519	113299.7453
520	113249.7338
521	113181.8175
522	113095.686
523	113031.667
524	112922.5965
525	112875.3216
526	112790.5461
527	112716.1874
528	112638.5169
529	112589.0562
530	112504.5026
531	112398.0571
532	112322.1583
533	112190.3192
534	112122.8316
535	111964.9217
536	111902.1449
537	111785.7377
538	111724.9171
539	111663.4956
540	111567.1383
541	111505.2644
542	111427.0715
543	111365.5335
544	111295.1065
545	111215.1499
546	111146.5983
547	111031.1862
548	110990.1485
549	110874.2586
550	110806.5187
551	110746.0422
552	110688.4509
553	110627.3112
554	110589.6023
555	110519.6596
556	110428.27
557	110350.5228
558	110237.5074
559	110149.2606
560	110065.8141
561	110021.3147
562	109959.4772
563	109828.9399
564	109766.82
565	109614.2423
566	109542.7898
567	109505.2376
568	109476.6035
569	109321.2007
570	109215.2704
571	109150.7543
572	109094.7976
573	108962.8407
574	108922.8249
575	108868.6947
576	108747.5297
577	108684.5738
578	108634.4338
579	108581.0038
580	108520.9694
581	108470.5128
582	108395.9103
583	108338.9537
584	108242.8564
585	108167.8529
586	108090.0561
587	107972.4164
588	107900.3857
589	107823.3708
590	107717.0765
591	107670.4923
592	107611.2341
593	107560.2896
594	107516.1699
595	107478.7745
596	107374.2465
597	107287.9377
598	107239.8887
599	107194.4581
600	107128.3134
601	107074.7775
602	107006.3516
603	106942.7734
604	106847.4472
605	106758.1026
606	106665.2123
607	106556.9755
608	106474.0626
609	106394.9174
610	106340.6556
611	106304.7033
612	106267.2581
613	106222.6719
614	106161.6104
615	106109.2526
616	106049.5174
617	106007.0899
618	105943.7164
619	105882.6484
620	105823.8841
621	105784.0673
622	105711.2734
623	105644.1653
624	105621.0778
625	105536.141
626	105437.2428
627	105375.1072
628	105318.959
629	105264.053
630	105179.433
631	105118.487
632	105067.2849
633	104958.0577
634	104865.1757
635	104794.0362
636	104730.3898
637	104648.6727
638	104610.1332
639	104535.8589
640	104496.5424
641	104379.9848
642	104276.151
643	104209.0096
644	104150.8811
645	104118.403
646	104049.5351
647	104010.4569
648	103959.9054
649	103824.8973
650	103738.3732
651	103648.7778
652	103603.6639
653	103565.5081
654	103506.4242
655	103456.6385
656	103390.8704
657	103321.0282
658	103291.1095
659	103251.8097
660	103230.0759
661	103133.5969
662	103069.2907
663	103013.1884
664	102962.2598
665	102927.994
666	102858.7783
667	102805.9321
668	102745.1106
669	102683.4943
670	102596.1423
671	102541.9505
672	102479.4843
673	102412.2465
674	102382.0748
675	102327.824
676	102262.8544
677	102208.4456
678	102143.4625
679	102067.2453
680	102031.9655
681	101995.1761
682	101903.6577
683	101842.356
684	101813.1289
685	101744.8444
686	101682.4486
687	101638.5428
688	101612.7707
689	101509.5849
690	101414.1701
691	101361.5044
692	101308.9935
693	101258.705
694	101226.7414
695	101181.1927
696	101132.1483
697	101088.124
698	101036.9625
699	100977.7246
700	100903.5698
701	100878.8323
702	100829.8314
703	100735.2509
704	100686.3309
705	100619.5933
706	100583.3838
707	100524.2622
708	100477.7714
709	100391.7586
710	100302.1079
711	100280.2553
712	100235.372
713	100189.0455
714	100127.7534
715	100085.857
716	100000.2534
717	99970.19989
718	99937.62844
719	99901.74208
720	99831.70942
721	99782.91578
722	99706.10753
723	99650.52454
724	99619.31804
725	99566.48327
726	99504.27892
727	99478.9312
728	99401.59682
729	99327.31934
730	99297.33763
731	99225.12598
732	99186.90305
733	99072.12668
734	99026.06737
735	98974.51704
736	98892.23555
737	98865.03436
738	98787.49506
739	98718.60042
740	98643.57293
741	98599.70178
742	98530.62021
743	98446.70572
744	98376.68713
745	98313.15721
746	98279.45794
747	98229.59304
748	98178.92395
749	98116.91789
750	98069.43491
751	97999.50463
752	97932.69707
753	97862.09807
754	97780.58384
755	97731.30088
756	97702.68001
757	97671.04788
758	97632.91388
759	97603.3905
760	97570.05299
761	97520.01437
762	97458.93695
763	97410.72298
764	97371.117
765	97308.93278
766	97279.58056
767	97218.55273
768	97121.07024
769	97015.06001
770	96960.94213
771	96886.93498
772	96791.387
773	96754.80077
774	96723.80816
775	96613.68371
776	96525.29013
777	96472.20695
778	96448.01884
779	96386.32646
780	96369.93049
781	96329.73282
782	96305.38688
783	96245.09972
784	96187.98235
785	96118.80594
786	96060.01964
787	95981.53141
788	95943.6507
789	95916.31852
790	95880.02395
791	95829.70585
792	95804.97819
793	95756.73071
794	95736.93746
795	95703.28326
796	95676.00818
797	95590.14419
798	95543.62124
799	95452.99569
800	95430.20301
801	95389.37312
802	95307.73116
803	95263.17503
804	95203.13279
805	95123.66204
806	95070.51705
807	95019.20793
808	94993.66873
809	94947.79525
810	94904.35229
811	94854.50081
812	94823.05261
813	94808.84833
814	94768.71992
815	94707.71997
816	94688.00103
817	94643.70174
818	94630.24986
819	94591.04503
820	94568.67223
821	94548.14226
822	94501.80489
823	94453.52907
824	94382.90852
825	94332.49035
826	94300.97704
827	94273.14704
828	94229.22782
829	94199.16653
830	94170.44428
831	94120.0111
832	94074.19203
833	94018.82637
834	93967.78916
835	93943.06905
836	93881.95471
837	93845.74052
838	93796.71264
839	93744.40962
840	93672.25208
841	93568.84583
842	93506.02449
843	93460.60571
844	93424.2189
845	93378.48878
846	93355.52236
847	93311.27973
848	93258.49428
849	93242.89869
850	93208.16462
851	93181.9352
852	93147.91554
853	93095.52391
854	93030.50758
855	92989.58394
856	92941.64869
857	92908.0851
858	92867.41351
859	92786.89856
860	92753.59157
861	92734.5596
862	92685.77061
863	92654.42339
864	92630.45429
865	92607.88542
866	92586.55
867	92539.15728
868	92525.71303
869	92472.37533
870	92428.79822
871	92396.24732
872	92367.6467
873	92308.70375
874	92270.22046
875	92232.10457
876	92188.03483
877	92135.15946
878	92111.18619
879	92050.43018
880	91992.11133
881	91947.37583
882	91929.43603
883	91914.41953
884	91868.3127
885	91822.36189
886	91797.76751
887	91765.22493
888	91721.98542
889	91707.73717
890	91684.49828
891	91639.58634
892	91593.25053
893	91543.57915
894	91493.69422
895	91469.47505
896	91420.34068
897	91381.84873
898	91351.33931
899	91307.47974
900	91260.26966
901	91223.30718
902	91193.26929
903	91121.90696
904	91089.08395
905	91048.691
906	90998.73002
907	90955.61579
908	90914.45669
909	90888.05855
910	90833.80154
911	90794.42876
912	90764.54248
913	90730.81529
914	90699.80471
915	90650.73062
916	90595.16073
917	90532.66027
918	90502.97525
919	90461.86276
920	90416.728
921	90390.08895
922	90375.8079
923	90344.61417
924	90330.9076
925	90265.65063
926	90224.96866
927	90193.24865
928	90169.32682
929	90132.81935
930	90094.30582
931	90067.24342
932	90026.91825
933	89995.65075
934	89975.07519
935	89934.51014
936	89891.14263
937	89843.67309
938	89822.04375
939	89787.14925
940	89751.58491
941	89708.60217
942	89649.49173
943	89621.37704
944	89583.10993
945	89566.25806
946	89544.62053
947	89514.0406
948	89495.26298
949	89436.54519
950	89369.89459
951	89334.7567
952	89282.49932
953	89255.17269
954	89216.95288
955	89170.84615
956	89139.68464
957	89095.85687
958	89037.58443
959	88994.86015
960	88967.59667
961	88929.40158
962	88910.27679
963	88845.22857
964	88805.12824
965	88730.75638
966	88672.96009
967	88635.03799
968	88603.63894
969	88542.49309
970	88505.22202
971	88479.18365
972	88420.68874
973	88353.0078
974	88317.90635
975	88259.43142
976	88211.48502
977	88166.27184
978	88147.35574
979	88082.28258
980	88048.48549
981	88010.64978
982	87987.52388
983	87959.04225
984	87899.57199
985	87856.84731
986	87806.22473
987	87783.18622
988	87744.73556
989	87725.42719
990	87698.0132
991	87659.93992
992	87634.8556
993	87601.39099
994	87583.77575
995	87530.79641
996	87489.31357
997	87453.36698
998	87420.97443
999	87402.92179
